,,,,,,,,
,,PERGUNTA,ALTERNATIVA 1,ALTERNATIVA 2,ALTERNATIVA 3,RESPOSTA,NIVEL,CATEGORIA
,,"Que jogador é conhecido como ""Imperador""?",Kaká,Ronaldo,Léo Moura,Adriano,2,Esporte
,,"Qual empresa tem a seguinte frase em suas publicidades ""... se sujar faz bem...""?",Minerva,Omo,Brilhante,Ipê,1,Entretenimento
,,Quais as cores predominantes na roupa do Super-Homem?,Verde e Branco,Azul e Roxo,Amarelo e Cinza,Azul e Vermelho,1,Entretenimento
,,Quem finalizou a obra da Basílica de San Pedro (Roma)?,Fillippo Brunelleschi,Pablo Picasso,Leonardo Da Vinci,Lorenzo Bernini,5,Artes
,,"Segundo a Biblia Sagrada, onde Jesus Cristo foi batizado?",Rio Amazonas,Rio Eufrates,Rio Jordão,Rio Nilo,2,História
,,Em que pais está localizada a cidade de Bruxelas?,Alemanha,Austria,França,Bélgica,2,Geografia
,,Qual desses times rubro-negros é de Pernambuco?,Flamengo,Campinense,Atletico Paranaense,Sport,2,Esporte
,,Em que estado se encontra a cidade de Formiga?,Rio Grande do Sul,Piaui,Pará,Minas Gerais,3,Geografia
,,"No filme ""It, a coisa"", como é chamado o palhaço dançarino?",Beverly Marsh,Bilk Denbrough,Richie Tozier,Pennywise,2,Entretenimento
,,Qual parte do corpo que mais contém micróbios?,Pé,Mão,Unhas,Boca,2,Ciências
,,Onde fica o quadro mais conhecido do Mundo?,Chile,Grécia,Brasil,Paris,1,Artes
,,"Qual oceano banha as praias da Califórnia, nos EUA?",Oceano Indico,Oceano Atlantico,Oceano Ártico,Oceano Pacifico,3,Geografia
,,Quem criou o molho barbecue?,Japoneses,Chineses,Brasileiros,Americanos,2,Ciências
,,Qual clube de futebol é o maior campeão da Liga dos Campeões da Europa?,Barcelona,Liverpool,Bayern de Munique,Real Madrid,3,Esporte
,,No filme as reliquias da morte com a varinha de quem Harry Potter derrota Lord Voldemont?,Dele Próprio,Hermione,Rony,Draco Malfoy,2,Entretenimento
,,"Em que Estado, Salvador está localizado?",Sergipe,Amazonas,Ceará,Bahia,1,Geografia
,,Qual continente que a cada ano que passa se afasta 2 centimetros do continente africano?,Continente Europeu,Continente da Oceania,Continente da Antártida,Contenete Sul-americano,3,Geografia
,,Que exame verifica a atividade elétrica do coração?,Tomografia computadorizada,Eletroencefalograma,Resonnância Magnética,Eletrocardiograma,2,Ciências
,,Qual desses filmes é escrito e dirigido por Quentin Tarantino?,Perdido em Marte,Mad Max,O Regresso,Bastardos Inglórios,3,Entretenimento
,,Onde se localiza a cidade de Amargosa?,São Paulo,Rio de Janeiro,Acre,Bahia,2,Geografia
,,Em que região a cidade do Rio de Janeiro fica?,Nordeste,Centro - Oeste,Sul,Sudeste,1,Geografia
,,Qual é a forma de detal?,C² - 6ab,6² - 6ab,0²x76y,B²-4ac,2,Ciências
,,Qual desses personagens históricos foi o grande responsável pela CLT (Consolidação das Leias Trabalhistas) no Brasil?,Juscelino Kubitschek,Luis Inácio Lula da Silva,Dom Pedro II,Getúlio Vargas,2,História
,,Qual é a famosa série médica que trata de Diagnósticos raros?,Grey's Anatomy,The Good Doctor,Chicago Med,Doutor House,2,Entretenimento
,,Quanto é 6x7x9x0?,37,32,42,0,1,Ciências
,,Qual dessas comidas é típica da Argentina?,Parrilada,Empanada,Facturas,Todas as alternativas,2,Ciências
,,Quem foi o primeiro presidente do Brasil?,Dom Pedro I,Dom Pedro II,Getúlio Vargas,Deodoro da Fonseca,2,História
,,"De quem é a famosa frase “Penso, logo existo”?",Platão,Galileu Galilei,Sócrates,Descartes,3,Ciências
,,De onde é a invenção do chuveiro elétrico?,França,Inglaterra,Austrália,Brasil,2,Ciências
,,Qual o livro mais vendido no mundo a seguir à Bíblia?,O Senhor dos Anéis,O Pequeno Príncipe,Harry Potter,Dom Quixote,2,Entretenimento
,,O que a palavra legend significa em português?,Legenda,Legendário,História,Lenda,2,Ciências
,,Qual o número mínimo de jogadores numa partida de futebol?,11,8,10,7,2,Esporte
,,Qual a nacionalidade de Che Guevara?,Cubana,Peruana,Boliviana,Argentina,2,História
,,Em que período da pré-história o fogo foi descoberto?,Neolítico,Idade dos Metais,Período da Pedra Polida,Paleolítico,3,História
,,Qual a montanha mais alta do Brasil?,Pico Paraná,Monte Roraima,Pico da Bandeira,Pico da Neblina,3,Geografia
,,Em qual local da Ásia o português é língua oficial?,Índia,Portugal,Moçambique,Macau,2,Geografia
,,Quem é o autor de “O Príncipe”?,Antoine de Saint-Exupéry,Thomas Hobbes,Rousseau,Maquiavel,2,História
,,Qual foi o recurso utilizado inicialmente pelo homem para explicar a origem das coisas?,A Filosofia,A Biologia,A Astronomia,A Mitologia,3,História
,,Qual o maior animal terrestre?,Baleia Azul,Dinossauro,Girafa,Elefante africano,2,Ciências
,,Que líder mundial ficou conhecida como “Dama de Ferro”?,Dilma Rousseff,Angela Merkel,Hillary Clinton,Margaret Thatcher,3,História
,,Quais os nomes dos três Reis Magos?,"Belchior, Gaspar e Nataniel","Gabriel, Benjamim e Melchior","Gaspar, Nicolau e Natanael","Belchior, Gaspar e Baltazar",2,História
,,Quem foi o primeiro homem a pisar na Lua?,Yuri Gagarin,Buzz Aldrin,Charles Duke,Neil Armstrong,2,História
,,As pessoas de qual tipo sanguíneo são consideradas doadores universais?,Tipo A,Tipo AB,Tipo B,Tipo O,1,Ciências
,,Quais são os cromossomos que determinam o sexo masculino?,Os V,Os X,Os W,Os Y,2,Ciências
,,Qual é o maior arquipélago da Terra?,a Filipinas,as Bahamas, as Maldivas,a Indonésia,3,Geografia
,,Que substância é absorvida pelas plantas e expirada por todos os seres vivos?,o nitrogênio,o oxigênio,o dióxido de ferro,o dióxido de carbono,2,Ciências
,,Em que oceano fica Madagascar?,Oceano Antártico,Oceano Atlântico,Oceano Pacífico,Oceano Índico,2,Geografia
,,"Quem viveu, segundo a bíblia, 969 anos?",Jesus Cristo,Noé,Abel,Matusalém,2,História
,,Quem pintou o teto da capela sistina?,Leonardo da Vinci,Sandro Botticelli,Donatello,Michelangelo,2,Artes
,,Jim Morrison era vocalista de que grupo?,The Police,Nirvana,Pink Floyd,The Doors,2,Entretenimento
,,Quem foi que falou independência ou morte?,Dom Pedro Segundo,Dom Quixote,Pedro Álvares Cabral,Dom Pedro Primeiro,2,História
,,"Quem compôs a música ""Hello""?",Rihana,Katy Perry,Nina Simone,Adelle,1,Entretenimento
,,Qual sigla indica o compeonato de football americano profissional?,NHL,NBA,NBB,NFL,1,Esporte
,,Qual equipe foi campeã da série B do campeonato Brasileiro de 2008?,Palmeiras,Vasco,Grêmio,Corinthians,1,Esporte
,,Em que estado se encontra a cidade de Natal?,PB,PE,RS,RN,1,Geografia
,,Qual é o tecido do coração?,Estriado esquelético,Cardiograma,Cardiaco,Estriado cardiaco,3,Ciências
,,Quem foi Paulo Autran?,Poeta,Músico,Pintor,Ator,2,Entretenimento
,,É um grande maestro?,Romero Brito,Robson Crusoé,Roberto Carlos,João Carlos Martins,1,Artes
,,Qual foi o primeiro clube brasileiro a incluir um jogador negro no time?,Flamengo,Palmeiras,Corinthians,Vasco da Gama,2,Esporte
,,Que pais não faz parte do BRICS?,Brasil,Rússia,China,Itália,2,História
,,"Quem planejou o roubo de ""La Casa de Papel""?",O Mestre,O Diretor,O Chefe,O Professor,1,Entretenimento
,,Qual time não possui copa do Brasil?,Palmeiras,Cruzeiro,Santos,São Paulo,2,Esporte
,,"Quantas pessoas formavam o grupo britânico ""Spice Girls""?",Quatro,Sete,Seis,Cinco,2,Entretenimento
,,Qual dessas plantas abaixo é venenosa?,Agrião,Alface,Mamona,Espinafre,1,Ciências
,,Qual era o verdadeiro nome do Deadpool?,Dave Morgan,Bruce Wayne,Dick Grayson,Wade Wilson,2,Entretenimento
,,Qual desses filmes pertence ao gênero de terror?,Meu Malvado Favorito,O fantasma do ópera,Scary movie,Atividade Paranormal,1,Entretenimento
,,Onde ocorre a formação do carvão mineral?,Placas tectônicas,Churrasqueira,Crosta Terrestre,Bacias sedimentares,2,Geografia
,,Quem é Letícia Spiller?,Uma Escritora,Uma Cantora,Uma Dançarina,Uma Atriz,1,Entretenimento
,,Qual das séries abaixo tem como personagem principal o Diabo?,The Rain,Demônios à Solta,Pretty Little Liars,Lúcifer,1,Entretenimento
,,Qual a gíria mais usada pelos paulistanos?,Eai,Puts,Trem,Mano,1,Geografia
,,Quem foi o mento da teoria da relatividade?,Copérnico,Tesla,Newton,Einstein,2,Ciências